question,answer
"What is your return policy?","You can return eligible products within 30 days of delivery. Products must be unused and in their original condition with tags attached."
"Can I exchange a product?","Yes, eligible products can be exchanged for another size within 30 days of delivery."
"How long does shipping take?","Standard delivery usually takes 3 to 5 business days. Delivery times may vary depending on the location."
"Do you offer free shipping?","Free standard shipping is available on orders above ₹1999."
"Can I cancel my order?","Orders can be cancelled before they are shipped. Once an order has been shipped, cancellation may not be possible."
"What payment methods do you accept?","We accept major credit cards, debit cards, UPI and other supported online payment methods."
"How can I track my order?","Once your order is shipped, you will receive tracking information that can be used to track your delivery."
"Can I return a sale item?","Sale items can be returned only if they meet the applicable return conditions."
"How long does a refund take?","After an approved return is received and processed, refunds are generally initiated through the original payment method."
"Do you offer discounts?","Fashion Forward Hub occasionally offers promotional discounts and special offers on selected products."
